Sample,T_C,final_T,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,wt_g,initial_CO2wtpc,xg_O2,xg_CO,xg_H2,xg_S2,fS2,total_mass_g,gas_volume,melt_volume,crystallisation_pc,bulk 34S/32S,bulk d34S,Notes,logfS2,,
15kV_10nA_TFB030vii,1150,,,,,1.8,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
15kV_10nA_TFB030vii,1150,,,,,2,,51.41618731,0.81041276,16.44837749,,,,9.859683545,0.150076437,6.943536485,11.87604871,1.800917244,0.450229311,0.12006115,5,500,100000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,-3,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,-17,,-17
Sunset Crater,1200,,,,,-2.5,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,-2,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,-1.5,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,-1,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,-0.5,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,0,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,0.1,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
