Sample,T_C,final_T,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,wt_g,initial_CO2wtpc,xg_O2,xg_CO,xg_H2,xg_S2,fS2,total_mass_g,gas_volume,melt_volume,crystallisation_pc,bulk 34S/32S,bulk d34S,Notes,logfS2,,
Sunset Crater,1200,,,,,0.2,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,0.3,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,0.4,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,0.5,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,0.6,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,0.7,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,0.8,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,0.9,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1.1,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1.2,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1.3,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1.4,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1.5,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1.6,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1.7,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1.8,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,1.9,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,2,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,2.1,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,2.2,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,2.3,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,2.4,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,2.5,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
Sunset Crater,1200,,,,,3,,47.61,1.8,16.22,,,,11.02,0.17,8.66,9.84,3.43,0.8,0.45,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
SFVF,1200,,,,,-2.5,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,-2,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,-1.5,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,-1,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,-0.5,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0.1,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0.2,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0.3,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0.4,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0.5,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0.6,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0.7,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0.8,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,0.9,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1.1,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1.2,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1.3,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1.4,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1.5,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1.6,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1.7,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1.8,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,1.9,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,2,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,2.1,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,2.2,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,2.3,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,2.4,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,2.5,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
SFVF,1200,,,,,3,,52.77,1.18,17.28,,,,7.88,0.19,5.86,9.19,3.39,1.5,0.76,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Erebus,1200,,,,,-2.5,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,-2,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,-1.5,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,-1,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,-0.5,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0.1,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0.2,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0.3,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0.4,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0.5,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0.6,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0.7,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0.8,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,0.9,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1.1,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1.2,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1.3,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1.4,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1.5,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1.6,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1.7,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1.8,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,1.9,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,2,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,2.1,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,2.2,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,2.3,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,2.4,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,2.5,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Erebus,1200,,,,,3,,47.49,2.79,18.83,,,,10.36,0.29,3.31,6.95,6.03,2.78,1.17,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Vesuvius,1200,,,,,-2.5,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,-2,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,-1.5,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,-1,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,-0.5,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0.1,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0.2,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0.3,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0.4,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0.5,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0.6,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0.7,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0.8,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,0.9,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1.1,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1.2,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1.3,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1.4,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1.5,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1.6,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1.7,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1.8,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,1.9,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,2,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,2.1,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,2.2,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,2.3,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,2.4,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,2.5,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Vesuvius,1200,,,,,3,,48.69,0.98,15.26,,,,8.15,0.23,6.68,11.6,1.93,5.86,0.62,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,1.00E-17,,,,,,,,-17,,-17
Etna,1200,,,,,-2.5,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,-2,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,-1.5,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,-1,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,-0.5,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0.1,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0.2,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0.3,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0.4,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0.5,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0.6,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0.7,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0.8,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,0.9,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1.1,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1.2,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1.3,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1.4,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1.5,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1.6,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1.7,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1.8,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,1.9,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,2,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,2.1,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,2.2,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,2.3,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,2.4,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
Etna,1200,,,,,2.5,,47.46,1.81,16.17,,,,10.47,0.2,6.74,11.42,3.48,1.72,0.52,0,0,1000,,,,,,,,,,,,,,,,,,,,
